StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent-prolific,prolific_id,country_residence,hiring_experience,recommend-scale,open-form-explain,fit,quit,easy-to-manage,team-player,attention-binary-qs,gender,gender _3_TEXT,age,education,geography,work-experience,employment-status,employment-status _7_TEXT,specific-occupation,specific-occupation_6_TEXT,followup-jobtitle,followup-other,followup-other_1_TEXT,followup-other_2_TEXT,feedback,PROLIFIC_PID,resumes_randomization_DO_male-employee,resumes_randomization_DO_female-founder,resumes_randomization_DO_female-employee,resumes_randomization_DO_male-founder,specific-questions_DO_quit,specific-questions_DO_fit,specific-questions_DO_team-player,specific-questions_DO_easy-to-manage
2021-11-19T20:03:40Z,2021-11-19T20:08:17Z,IP Address,69.130.155.231,100,276,TRUE,2021-11-19T20:08:17Z,R_1P18BitRFseytRn,NA,NA,NA,NA,36.186798095703125,-86.50669860839844,anonymous,EN,I consent,611c06633d0e33ee70882361,United States,Yes,Probably recommend,Job experience immediately after completion of Bachelor of Arts degree. Job advancement after 2 years.,A moderately good fit,Not likely,Easy,A moderately good team player,"No, not an ex-founder",Female,NA,28,Associate or Bachelor's degree,South,10–20 years,Keeping house,NA,NA,NA,NA,NA,NA,NA,NA,611c06633d0e33ee70882361,NA,1,NA,NA,1,2,3,4
2021-11-19T20:07:53Z,2021-11-19T20:10:29Z,IP Address,72.220.214.167,100,155,TRUE,2021-11-19T20:10:29Z,R_2fkujGw0VliEb3Y,NA,NA,NA,NA,32.81230163574219,-116.91719818115233,anonymous,EN,I consent,6085973b9cb39bad877c8c42,United States,Yes,Very probably recommend,They seem to have a well-rounded resume with a decent amount of experience and quality education.,Neither a bad nor a good fit,Not likely,Easy,A moderately good team player,"No, not an ex-founder",Male,NA,28,"Some college, no degree",West,10–20 years,Working,NA,Type name here:,The Fish Market,Server,NA,NA,NA,"No, it was very straight forward and understandable.",6085973b9cb39bad877c8c42,NA,NA,1,NA,1,3,4,2
2021-11-19T19:58:08Z,2021-11-19T20:10:51Z,IP Address,24.196.166.159,100,763,TRUE,2021-11-19T20:10:51Z,R_3NvMVeyFAbvvNLa,NA,NA,NA,NA,35.539703369140625,-82.51509857177734,anonymous,EN,I consent,6151b5ac7510be42d379540b,United States,Yes,Probably not recommend,"Experience from the last position listed looks good but it is concerning that both positions at Best Buy had the same employment dates. Also, a professional resume isn't normally going to include an interests section with things such as baking and softball listed.",A slightly good fit,Not likely,Not easy,A neither good nor bad team player,"No, not an ex-founder",Female,NA,48,Associate or Bachelor's degree,South,More than 20 years,Working,NA,Type name here:,Arpin Chiropractic,Office Manager,NA,NA,NA,it seems good as is.,6151b5ac7510be42d379540b,NA,NA,1,NA,1,3,2,4
2021-11-25T10:14:03Z,2021-11-25T10:20:49Z,IP Address,50.5.143.35,100,405,TRUE,2021-11-25T10:20:49Z,R_Aj0afKy0Ftcxmfv,NA,NA,NA,NA,39.24540710449219,-84.25370025634766,anonymous,EN,I consent,614de7055ac2892842f52ed7,United States,Yes,Very probably recommend,Has visible career growth and relevant experience in the field,A slightly bad fit,Not likely,Neither easy nor difficult,A moderately good team player,"No, not an ex-founder",Male,NA,52,Master's degree,Midwest,More than 20 years,Working,NA,Does not apply / Other,NA,NA,"If not self-employed, describe what you do and with whom you work with:",NA,Devops manager working with stakeholders and developers,Don’t ask for employer name,614de7055ac2892842f52ed7,1,NA,NA,NA,1,4,3,2
2021-11-25T10:48:53Z,2021-11-25T10:59:58Z,IP Address,74.73.176.17,100,665,TRUE,2021-11-25T10:59:59Z,R_1EZCLXfZ4nDqnXf,NA,NA,NA,NA,40.697998046875,-73.762298583984375,anonymous,EN,I consent,5c6f9453cbd1430001a04463,United States,Yes,Probably recommend,This person has relevant skills and can be useful.,A slightly good fit,Not very likely,Very easy,A moderately good team player,"No, not an ex-founder",Female,NA,34,Master's degree,Northeast,10–20 years,Working,NA,Type name here:,MTA,Manager,NA,NA,NA,No,5c6f9453cbd1430001a04463,NA,NA,1,NA,4,3,1,2
2021-11-25T11:04:50Z,2021-11-25T11:07:09Z,IP Address,72.210.44.205,100,139,TRUE,2021-11-25T11:07:10Z,R_eJMj6P8Vjt84ddn,NA,NA,NA,NA,33.24090576171875,-111.7791976928711,anonymous,EN,I consent,5f2fc0f05b67073c177aaece,United States,Yes,"Might or
might not recommend",has sufficient experience and educational background,Neither a bad nor a good fit,"Might or
might not quit",Very easy,A moderately good team player,"No, not an ex-founder",Female,NA,32,Associate or Bachelor's degree,West,5–10 years,Working,NA,Does not apply / Other,NA,NA,Write industry here:,education,NA,n/a,5f2fc0f05b67073c177aaece,NA,NA,NA,1,2,1,4,3
2021-11-25T11:11:56Z,2021-11-25T11:15:29Z,IP Address,68.44.19.129,100,212,TRUE,2021-11-25T11:15:29Z,R_240IxArW7eyjsXL,NA,NA,NA,NA,41.0491943359375,-85.30400085449219,anonymous,EN,I consent,5c9527e29e4f7400011e1571,United States,Yes,Very probably recommend,She had solid job experience with proven results,A moderately good fit,"Might or
might not quit",Easy,An extremely good team player,"No, not an ex-founder",Male,NA,48,Associate or Bachelor's degree,Midwest,10–20 years,Working,NA,Type name here:,Not going to give that info,Researcher,NA,NA,NA,No,5c9527e29e4f7400011e1571,NA,1,NA,NA,1,4,3,2
2021-11-25T11:16:52Z,2021-11-25T11:18:33Z,IP Address,73.179.37.156,100,100,TRUE,2021-11-25T11:18:33Z,R_uswjE6CQ3IEvtxT,NA,NA,NA,NA,26.664199829101562,-80.17320251464844,anonymous,EN,I consent,5aedb8ce49bb4c0001079640,United States,Yes,Very probably recommend,has relevant experience and education,A moderately good fit,Not very likely,Easy,A moderately good team player,"No, not an ex-founder",Female,NA,26,Master's degree,South,5–10 years,Working,NA,Does not apply / Other,NA,NA,"If not self-employed, describe what you do and with whom you work with:",NA,operations manager,NA,5aedb8ce49bb4c0001079640,NA,1,NA,NA,4,2,1,3
2021-11-25T11:35:33Z,2021-11-25T11:37:33Z,IP Address,174.246.200.97,100,120,TRUE,2021-11-25T11:37:34Z,R_2YM57pr5PoiyfJV,NA,NA,NA,NA,30.273193359375,-97.74189758300781,anonymous,EN,I consent,5f41ff3b22717b3c81994807,United States,Yes,"Might or
might not recommend",It would depend on more than a resume,Neither a bad nor a good fit,"Might or
might not quit",Neither easy nor difficult,A neither good nor bad team player,"Yes, an ex-founder",Female,NA,28,"Some college, no degree",South,5–10 years,Looking for work,NA,NA,NA,NA,NA,NA,NA,NA,5f41ff3b22717b3c81994807,NA,NA,NA,1,1,3,4,2
2021-11-25T11:25:10Z,2021-11-25T11:39:31Z,IP Address,67.182.37.148,100,860,TRUE,2021-11-25T11:39:31Z,R_1rlyYd4y9KQNoqp,NA,NA,NA,NA,37.99980163574219,-120.32669830322266,anonymous,EN,I consent,606cba49bb285f26a3afee25,United States,Yes,Very probably recommend,He seems motivated and knowledgeable in the field that he is applying for.,A slightly good fit,Very likely,Very easy,A moderately good team player,"Yes, an ex-founder",Male,NA,61,"Some college, no degree",West,More than 20 years,Other:,retired,NA,NA,NA,NA,NA,NA,No,606cba49bb285f26a3afee25,NA,NA,NA,1,3,4,2,1
2021-11-25T11:31:42Z,2021-11-25T11:41:48Z,IP Address,68.53.107.204,100,605,TRUE,2021-11-25T11:41:48Z,R_bjYTinQL5Q07MYx,NA,NA,NA,NA,37.06340026855469,-88.66320037841797,anonymous,EN,I consent,6147d9a1448517d2f2f01250,United States,Yes,"Might or
might not recommend",I would question the 2 years between jobs,A moderately bad fit,Likely,Easy,A slightly good team player,"Yes, an ex-founder",Female,NA,39,"Some college, no degree",Midwest,More than 20 years,Working,NA,Type name here:,Southern Rock Rest.,Store manager,NA,NA,NA,No,6147d9a1448517d2f2f01250,NA,NA,1,NA,1,2,4,3
2021-11-25T11:37:50Z,2021-11-25T11:41:55Z,IP Address,72.187.210.65,100,244,TRUE,2021-11-25T11:41:55Z,R_6Q15Ft4VPjYDhrX,NA,NA,NA,NA,27.8406982421875,-82.71549987792969,anonymous,EN,I consent,55914b15fdf99b1e5e44e714,United States,Yes,Probably recommend,"She has a lot of work experience and seems to have a lot of knowledge, but there is a gap on her resume",A moderately good fit,"Might or
might not quit",Easy,A moderately good team player,"No, not an ex-founder",Female,NA,34,Associate or Bachelor's degree,South,10–20 years,With a job but not at work,NA,Type name here:,bealls inc,sales associate,NA,NA,NA,"i didn't understand the question about ""ex-founder""",55914b15fdf99b1e5e44e714,NA,NA,1,NA,1,3,2,4
2021-11-25T11:46:39Z,2021-11-25T11:48:44Z,IP Address,99.45.222.233,100,124,TRUE,2021-11-25T11:48:44Z,R_3J41rnX0UjZIrMr,NA,NA,NA,NA,25.99200439453125,-80.27020263671875,anonymous,EN,I consent,5c8808098d2bbf0017e4b527,United States,Yes,Probably recommend,he's young and has social media experience,A moderately good fit,"Might or
might not quit",Easy,A neither good nor bad team player,"No, not an ex-founder",Female,NA,56,Associate or Bachelor's degree,South,More than 20 years,Working,NA,Does not apply / Other,NA,NA,Write industry here:,travel,NA,n/a,5c8808098d2bbf0017e4b527,1,NA,NA,NA,2,1,3,4
2021-11-25T11:47:47Z,2021-11-25T11:51:03Z,IP Address,24.183.234.180,100,196,TRUE,2021-11-25T11:51:03Z,R_28AuHQEGGA7zcXz,NA,NA,NA,NA,35.61729431152344,-87.03170013427734,anonymous,EN,I consent,5bb2677fd8afe200018d0afc,United States,Yes,"Might or
might not recommend","I’ve heard recruiters ten less than 5 seconds reading a resume, despite the typical resume composer investing exponentially more time in creating the document. Anyways, I spent 5 secs looking at it and i have no idea who the person is so I don’t know if i would hire them. Recruiters are apparently idiots.",Neither a bad nor a good fit,"Might or
might not quit",Neither easy nor difficult,A neither good nor bad team player,"Yes, an ex-founder",Male,NA,42,Master's degree,Midwest,10–20 years,Unable to work,NA,NA,NA,NA,NA,NA,NA,"None, good luck gathering data and please let us know if you find out any secret resume tips!",5bb2677fd8afe200018d0afc,NA,NA,NA,1,3,2,4,1
2021-11-25T11:47:38Z,2021-11-25T11:51:50Z,IP Address,76.49.102.109,100,251,TRUE,2021-11-25T11:51:50Z,R_2CvmmXyzGE9jzyJ,NA,NA,NA,NA,35.2843017578125,-80.76000213623047,anonymous,EN,I consent,60cf382898b50ef89e5efab3,United States,Yes,Very probably recommend,His work has been steady. He has also risen in experience and progressed from a marketing asst. to the director.,An extremely good fit,Not very likely,Definitely easy,An extremely good team player,"No, not an ex-founder",Male,NA,33,Associate or Bachelor's degree,South,10–20 years,Working,NA,Type name here:,Salud Cerveceria,Head Production Brewer,NA,NA,NA,none at all.,60cf382898b50ef89e5efab3,1,NA,NA,NA,3,2,4,1
2021-11-25T11:48:45Z,2021-11-25T11:53:26Z,IP Address,174.242.133.42,100,281,TRUE,2021-11-25T11:53:27Z,R_3oYq7JD3WcWYwcY,NA,NA,NA,NA,41.760101318359375,-71.510498046875,anonymous,EN,I consent,607c9f94cc974d4ea1dc22c8,United States,Yes,Probably recommend,Had a great deal of marketing experience at Best Buy and marketing and creation of own marketing company.,A moderately good fit,"Might or
might not quit",Neither easy nor difficult,An extremely good team player,"Yes, an ex-founder",Male,NA,65,"Some college, no degree",Northeast,More than 20 years,Keeping house,NA,NA,NA,NA,NA,NA,NA,No feedback to offer in this regard.,607c9f94cc974d4ea1dc22c8,NA,1,NA,NA,4,2,1,3
2021-11-25T11:54:36Z,2021-11-25T11:58:29Z,IP Address,174.198.9.201,100,233,TRUE,2021-11-25T11:58:30Z,R_Xi9b1qntBxsyk3n,NA,NA,NA,NA,39.98429870605469,-75.22660064697266,anonymous,EN,I consent,5f0fd43f114b6a07e3c05d1b,United States,Yes,Probably recommend,The resume was consistent in reference to field of expertise. Also there is an educational background to match.,Neither a bad nor a good fit,"Might or
might not quit",Neither easy nor difficult,A moderately good team player,"No, not an ex-founder",Male,NA,45,Master's degree,Northeast,More than 20 years,Working,NA,Type name here:,Marquis & Co.,Manager,NA,NA,NA,Nothing further to add. Thank-you,5f0fd43f114b6a07e3c05d1b,NA,NA,1,NA,4,3,2,1
2021-11-25T11:55:04Z,2021-11-25T11:58:40Z,IP Address,24.1.4.18,100,215,TRUE,2021-11-25T11:58:40Z,R_dhYcwx2IOQp7UpH,NA,NA,NA,NA,42.32749938964844,-88.29180145263672,anonymous,EN,I consent,5fe508e86079e12a8a3b2427,United States,Yes,Very probably recommend,"He has a lot of relevant experience so he would be competent as a marketer. However, since he founded his own company it might mean he is not a good fit working under someone else so I couldn't give a 100% recoomendation.",A slightly bad fit,Not very likely,Not easy,A moderately good team player,"Yes, an ex-founder",Male,NA,29,Associate or Bachelor's degree,Midwest,5–10 years,Working,NA,Type name here:,Kintetsu World Express,Import and Export Coordinator,NA,NA,NA,NA,5fe508e86079e12a8a3b2427,NA,NA,NA,1,1,2,3,4
2021-11-25T11:52:53Z,2021-11-25T12:00:12Z,IP Address,108.81.184.58,100,438,TRUE,2021-11-25T12:00:12Z,R_2aakFq274xFhu6B,NA,NA,NA,NA,34.78199768066406,-86.6084976196289,anonymous,EN,I consent,5f4c4b277200c9868db9d43f,United States,Yes,"Might or
might not recommend",She has many interests. I'd wonder if she is committed.,Neither a bad nor a good fit,"Might or
might not quit",Easy,A slightly good team player,"No, not an ex-founder",Male,NA,29,High school degree,South,5–10 years,Working,NA,Type name here:,publix,customer manager,NA,NA,NA,no,5f4c4b277200c9868db9d43f,NA,NA,1,NA,2,1,3,4
2021-11-25T11:54:21Z,2021-11-25T12:00:40Z,IP Address,96.224.196.137,100,378,TRUE,2021-11-25T12:00:40Z,R_Z34Bu7va7ub5VND,NA,NA,NA,NA,40.724395751953125,-73.64839935302734,anonymous,EN,I consent,5fa8aa822e22ef7809425df9,United States,Yes,Very probably recommend,from beginner to co-funder in marketing experience show the fine strength in marketing competence,A moderately bad fit,Not likely,Easy,A moderately good team player,"No, not an ex-founder",Male,NA,44,Master's degree,Northeast,10–20 years,Looking for work,NA,NA,NA,NA,NA,NA,NA,I don't think this resume is real,5fa8aa822e22ef7809425df9,NA,1,NA,NA,1,4,3,2
2021-11-25T12:00:56Z,2021-11-25T12:01:14Z,IP Address,98.23.15.180,100,18,TRUE,2021-11-25T12:01:15Z,R_2103lBBsbdk6y9v,NA,NA,NA,NA,41.02580261230469,-93.77290344238281,anonymous,EN,I consent,5dd3e69efd5b283c6548d6f2,United States,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5dd3e69efd5b283c6548d6f2,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-25T11:59:34Z,2021-11-25T12:01:25Z,IP Address,73.173.45.12,100,111,TRUE,2021-11-25T12:01:26Z,R_1isvbIzzoQvnHb4,NA,NA,NA,NA,39.3529052734375,-76.57430267333984,anonymous,EN,I consent,60ff137e3102877ec427cc68,United States,Yes,Very probably recommend,"Solid background in marketing, with moving up in position and taking on more responsiblity",Neither a bad nor a good fit,"Might or
might not quit",Neither easy nor difficult,A moderately good team player,"Yes, an ex-founder",Female,NA,33,Associate or Bachelor's degree,Northeast,10–20 years,Working,NA,Type name here:,National Aquarium,Grants Manager,NA,NA,NA,NA,60ff137e3102877ec427cc68,NA,NA,NA,1,1,3,4,2
2021-11-25T11:57:34Z,2021-11-25T12:01:38Z,IP Address,71.112.202.172,100,243,TRUE,2021-11-25T12:01:38Z,R_1jCluaVTJGLZW6h,NA,NA,NA,NA,40.47300720214844,-79.95369720458984,anonymous,EN,I consent,5ef4d71e2e4e740edef0340a,United States,Yes,Probably recommend,This candidate seems to have a solid background in marketing and various other areas. I would need to ask the candidate a few questions and to see how they would work with a team of employees.,Neither a bad nor a good fit,"Might or
might not quit",Neither easy nor difficult,A neither good nor bad team player,"No, not an ex-founder",Male,NA,33,Associate or Bachelor's degree,Northeast,10–20 years,Working,NA,Does not apply / Other,NA,NA,Write industry here:,Health and Fitness,NA,N/A,5ef4d71e2e4e740edef0340a,1,NA,NA,NA,2,4,1,3
2021-11-25T11:59:34Z,2021-11-25T12:03:39Z,IP Address,65.96.243.35,100,244,TRUE,2021-11-25T12:03:39Z,R_1C2cS3pIvu77paL,NA,NA,NA,NA,42.6011962890625,-72.62259674072266,anonymous,EN,I consent,60fdf4ec0eb3705b6d362018,United States,Yes,Very probably recommend,Solid resume that showed progressively more responsiblity and success in the field.,An extremely good fit,Not likely,Easy,A moderately good team player,"No, not an ex-founder",Female,NA,60,Master's degree,Northeast,More than 20 years,Working,NA,Type name here:,Independent School,Librarian,NA,NA,NA,NA,60fdf4ec0eb3705b6d362018,NA,NA,1,NA,2,1,3,4
2021-11-25T11:59:45Z,2021-11-25T12:03:58Z,IP Address,73.169.119.154,100,253,TRUE,2021-11-25T12:03:59Z,R_2bQ0RCdzxq82aWI,NA,NA,NA,NA,39.589202880859375,-105.13590240478516,anonymous,EN,I consent,5f98611887217c12023507e0,United States,Yes,Probably recommend,I felt the experience at Fusion Digital Solutions for 7 years was in the applicant's favor.  She also had a degree in marketing.,A slightly good fit,"Might or
might not quit",Neither easy nor difficult,A moderately good team player,"No, not an ex-founder",Female,NA,62,Associate or Bachelor's degree,West,More than 20 years,Working,NA,Type name here:,FIS,Senior Compliance Manager,NA,NA,NA,There was a question about ex-founder.   She wasn't an ex-founder but a co-founder.   I hope I didn't overthink it.,5f98611887217c12023507e0,NA,1,NA,NA,1,3,4,2
2021-11-25T11:57:54Z,2021-11-25T12:04:28Z,IP Address,71.143.197.97,100,394,TRUE,2021-11-25T12:04:29Z,R_6YlnyWUQCxXVfgd,NA,NA,NA,NA,37.7200927734375,-122.44139862060547,anonymous,EN,I consent,5feea1dceae5431a85b1fe1e,United States,Yes,Very probably recommend,Besides being able to pick up on the traditional assortment of generic sales and marketing software she was able to help co-found and create a new business. The ability to venture into independent business despite it's volatility and staying there for over half a decade makes a great impression. Especially directing it as the CMO.,A moderately good fit,"Might or
might not quit",Easy,A moderately good team player,"Yes, an ex-founder",Male,NA,28,"Some college, no degree",West,10–20 years,Working,NA,Type name here:,Tesla,Production Associate,NA,NA,NA,NA,5feea1dceae5431a85b1fe1e,NA,1,NA,NA,3,1,4,2
2021-11-25T11:59:40Z,2021-11-25T12:04:30Z,IP Address,73.142.255.141,100,290,TRUE,2021-11-25T12:04:30Z,R_C1ibN2mBDimgRnH,NA,NA,NA,NA,42.033599853515625,-70.94950103759766,anonymous,EN,I consent,60ce4d729c9270e9f0f171b3,United States,Yes,Probably recommend,"Seems like he has good experience and also has a strong entrepreneurial spirit. Could be a strong candidate for a regional role, but maybe not for a national one.",A slightly good fit,"Might or
might not quit",Easy,A moderately good team player,"Yes, an ex-founder",Male,NA,39,Master's degree,Northeast,10–20 years,Working,NA,Type name here:,Liberty mutual,Senior director,NA,NA,NA,NA,60ce4d729c9270e9f0f171b3,NA,NA,NA,1,2,1,3,4
2021-11-25T11:57:52Z,2021-11-25T12:04:52Z,IP Address,38.39.213.254,100,419,TRUE,2021-11-25T12:04:52Z,R_27J63aVnvCnMcYE,NA,NA,NA,NA,37.4906005859375,-90.33619689941406,anonymous,EN,I consent,5c2f7f10e4dd550001e49c10,United States,Yes,Very probably recommend,"This candidate has a lot of experience with branding, working with clients and online marketing.",An extremely good fit,"Might or
might not quit",Very easy,An extremely good team player,"No, not an ex-founder",Female,NA,56,High school degree,South,More than 20 years,Working,NA,Does not apply / Other,NA,NA,Write industry here:,freelance,NA,NA,5c2f7f10e4dd550001e49c10,1,NA,NA,NA,3,2,4,1
2021-11-25T12:00:42Z,2021-11-25T12:05:15Z,IP Address,166.181.82.38,100,273,TRUE,2021-11-25T12:05:15Z,R_vOa6dCzW379l0Qh,NA,NA,NA,NA,41.60209655761719,-93.612396240234375,anonymous,EN,I consent,5bc5552a23ecbb00012d6cb5,United States,Yes,Probably recommend,looking to leave a job that she seems successful at - what is the motivation?,A slightly good fit,Very likely,Not easy,A slightly good team player,"No, not an ex-founder",Female,NA,65,High school degree,South,More than 20 years,Working,NA,Type name here:,LegalShield,Customer Care Team Manager,NA,NA,NA,not that I can think of,5bc5552a23ecbb00012d6cb5,NA,NA,1,NA,4,1,3,2
2021-11-25T12:03:09Z,2021-11-25T12:06:36Z,IP Address,172.5.101.44,100,206,TRUE,2021-11-25T12:06:37Z,R_2AQjhIYfXR0VWoY,NA,NA,NA,NA,29.555099487304684,-98.74420166015624,anonymous,EN,I consent,60fde4c44dde3e3f346ac1db,United States,Yes,Very probably recommend,"Though his education is just a B.A., his work history makes up for it",A moderately good fit,Not very likely,Easy,A moderately good team player,"Yes, an ex-founder",Female,NA,35,"Some college, no degree",South,10–20 years,With a job but not at work,NA,Does not apply / Other,NA,NA,Write industry here:,Sales,NA,NA,60fde4c44dde3e3f346ac1db,NA,NA,NA,1,2,1,3,4
